Manager ID (#),DOB (dd-mm-yyyy),"Sex (female, male, prefer-not-to-say)","Region (APAC, UK & EMEA, USA)",Department,"Seniority (Colleague, Senior leader)",Hire Date (dd-mm-yyyy),Leadership rating - Commercial Acumn (360 rating),Leadership rating - Communication (360 rating),Leadership rating - Change Agility (360 rating),Leadership rating - Building Capability (360 rating),Leadership rating - Creating positive culture (360),# of previous Managerial roles,Turnover rate (as a % of team size for FY2023),Team size (#),2023 Team Engagement score (average eNPS),Full-Time Equivalent (FTE)
8826,09/12/1992,Female,APAC,Sales & Marketing,Colleague,9/1/2022,5.0,3.1,3.4,3.8,4.5,3.0,0,4,99,1.0
8681,20/02/1988,Male,APAC,Sales & Marketing,Colleague,12/13/2021,5.0,3.8,2.3,4.0,3.3,3.0,0,2,-21,1.0
8547,28/08/1979,Female,UK & EMEA,Research Department,Colleague,5/17/2021,5.0,3.3,2.1,4.2,4.3,4.0,0,5,69,1.0
8664,15/12/1978,Female,UK & EMEA,Research Department,Colleague,11/1/2021,5.0,3.3,2.6,3.6,3.5,3.0,0,4,46,1.0
8158,01/06/1987,Male,UK & EMEA,Sales & Marketing,Senior Leader,7/18/2016,5.0,3.5,2.9,4.3,4.3,4.0,0,4,-21,1.0
8796,12/09/1970,Female,USA,Research Department,Colleague,7/18/2022,5.0,4.1,3.3,3.9,3.4,6.0,0,5,47,1.0
8595,07/02/1999,Female,UK & EMEA,Research Department,Colleague,8/2/2021,5.0,3.4,2.4,4.9,3.5,2.0,0,3,74,1.0
8330,24/04/1991,Male,USA,IT Department,Colleague,5/27/2019,5.0,4.0,2.1,3.7,4.6,3.0,0,2,93,1.0
8820,11/02/1994,Female,UK & EMEA,IT Department,Colleague,8/22/2022,5.0,4.4,2.6,3.8,3.6,3.0,0,1,-10,1.0
8750,24/01/1983,Female,UK & EMEA,Human Resources,Colleague,5/11/2022,5.0,4.4,3.6,3.7,3.4,5.0,0,4,93,1.0
8635,10/03/1999,Male,APAC,Research Department,Colleague,9/22/2021,5.0,4.1,3.4,3.6,4.4,3.0,0,1,79,1.0
8243,08/12/1993,Female,APAC,Manufacturing,Colleague,3/19/2018,5.0,4.0,2.9,3.7,4.5,3.0,0,4,9,1.0
8324,01/12/1995,Female,APAC,Manufacturing,Colleague,4/15/2019,4.9,4.5,3.0,5.0,4.5,3.0,0,2,34,1.0
8403,20/06/1991,Male,APAC,Sales & Marketing,Colleague,3/2/2020,4.9,4.0,3.1,3.3,3.2,4.0,0,3,87,1.0
8031,15/06/1985,Female,UK & EMEA,Research Department,Colleague,8/18/2008,4.9,4.0,2.6,4.3,4.5,5.0,0,1,69,1.0
8148,23/04/1974,Female,UK & EMEA,Finance,Senior Leader,11/2/2015,4.9,3.9,2.8,4.9,4.7,5.0,0,1,-7,0.9
8748,01/04/1988,Female,UK & EMEA,Sales & Marketing,Colleague,5/9/2022,4.9,3.3,2.8,3.9,3.5,2.0,0,2,5,1.0
8144,12/08/1984,Male,UK & EMEA,Sales & Marketing,Colleague,9/22/2015,4.9,4.2,3.2,4.7,3.6,5.0,0,5,40,1.0
8182,14/05/1993,Female,UK & EMEA,Sales & Marketing,Colleague,3/13/2017,4.9,3.4,2.8,3.8,3.8,3.0,0,2,-23,1.0
8942,14/03/1993,Female,APAC,Sales & Marketing,Colleague,3/13/2023,4.9,4.5,3.3,3.9,3.3,3.0,0,2,56,1.0
8873,23/09/1999,Male,UK & EMEA,Research Department,Colleague,10/24/2022,4.9,4.3,2.0,4.1,3.7,2.0,0,5,53,1.0
8892,07/02/2001,Male,UK & EMEA,Manufacturing,Colleague,11/14/2022,4.9,3.9,2.5,4.8,4.0,2.0,0,5,94,1.0
8703,21/03/1997,Female,UK & EMEA,Research Department,Colleague,1/31/2022,4.9,3.7,3.7,4.7,3.6,4.0,0,1,51,1.0
8526,28/01/1989,Male,USA,Manufacturing,Colleague,3/8/2021,4.9,3.7,2.2,3.8,4.1,3.0,0,4,59,1.0
8631,06/10/1997,Female,UK & EMEA,Research Department,Colleague,9/20/2021,4.9,4.7,2.5,4.3,4.0,2.0,0,5,68,1.0
8978,09/04/1978,Male,USA,Sales & Marketing,Senior Leader,6/19/2023,4.9,4.2,2.6,4.2,3.8,4.0,0,5,43,1.0
8462,04/09/1983,Female,UK & EMEA,Manufacturing,Senior Leader,8/24/2020,4.9,4.5,3.7,4.3,4.2,4.0,0,4,100,1.0
8735,03/04/1990,Female,UK & EMEA,Sales & Marketing,Colleague,4/11/2022,4.8,4.4,3.0,4.8,4.6,3.0,0,3,96,1.0
8384,01/05/1975,Female,USA,Manufacturing,Colleague,1/7/2020,4.8,3.5,4.2,4.2,4.2,3.0,0,2,97,1.0
8936,18/05/1976,Male,UK & EMEA,Finance,Colleague,2/13/2023,4.8,3.9,2.4,4.2,4.5,5.0,0,4,43,1.0
8716,16/12/1993,Female,USA,Sales & Marketing,Colleague,2/28/2022,4.8,4.4,3.0,4.9,4.9,2.0,0,2,5,1.0
8734,24/12/1998,Male,APAC,Manufacturing,Colleague,4/11/2022,4.8,3.8,2.6,3.7,3.3,2.0,0,2,4,1.0
8537,24/06/1997,Female,APAC,Research Department,Colleague,4/19/2021,4.8,4.0,1.9,4.5,4.3,4.0,0,4,75,1.0
8717,14/09/1990,Female,UK & EMEA,Sales & Marketing,Colleague,2/28/2022,4.8,4.6,1.8,3.9,4.1,2.0,0,2,91,1.0
8119,01/03/1965,Female,UK & EMEA,IT Department,Colleague,11/10/2014,4.8,3.6,2.8,3.3,3.7,4.0,0,5,63,1.0
8323,03/06/1972,Male,UK & EMEA,Sales & Marketing,Senior Leader,4/8/2019,4.8,4.1,3.3,3.5,3.6,5.0,0,2,80,1.0
8095,23/10/1991,Male,UK & EMEA,IT Department,Colleague,10/7/2013,4.8,4.0,2.4,4.5,3.8,2.0,0,1,96,1.0
8605,30/07/1981,Male,USA,Manufacturing,Colleague,8/10/2021,4.8,4.1,3.4,4.4,3.8,3.0,0,2,97,1.0
8663,25/07/1986,Male,APAC,Manufacturing,Colleague,11/1/2021,4.8,4.0,3.3,3.8,3.7,5.0,0,5,52,1.0
8618,10/09/1996,Female,APAC,Manufacturing,Colleague,9/6/2021,4.8,3.5,2.4,4.5,3.9,4.0,0,4,39,1.0
8751,19/11/1987,Female,UK & EMEA,Sales & Marketing,Colleague,5/16/2022,4.8,4.8,3.5,4.0,3.9,3.0,0,2,-13,1.0
8530,22/01/1997,Male,APAC,Manufacturing,Colleague,3/29/2021,4.8,3.4,2.8,3.7,3.3,4.0,0,4,51,1.0
8747,10/09/1995,Female,APAC,Research Department,Colleague,5/9/2022,4.7,3.5,2.8,3.6,3.9,3.0,0,4,82,1.0
8026,18/07/1984,Female,APAC,Manufacturing,Colleague,7/1/2007,4.7,4.6,3.4,4.3,4.8,4.0,0,1,65,1.0
8953,10/08/1990,Female,UK & EMEA,Sales & Marketing,Colleague,4/3/2023,4.7,4.2,4.0,4.5,3.4,2.0,0,4,100,1.0
8818,25/01/1989,Male,USA,Manufacturing,Colleague,8/16/2022,4.7,4.8,2.4,3.2,3.4,2.0,0,4,84,1.0
8653,16/08/1986,Male,UK & EMEA,Finance,Colleague,10/18/2021,4.7,3.3,3.7,3.7,4.1,3.0,0,5,41,1.0
8843,30/07/1995,Female,USA,Sales & Marketing,Colleague,9/19/2022,4.7,4.4,3.6,4.0,4.2,3.0,0,5,35,1.0
8086,10/07/1988,Female,APAC,Research Department,Colleague,11/7/2012,4.7,3.9,2.9,4.3,4.3,3.0,0,2,73,1.0
8123,10/12/1992,Female,APAC,Manufacturing,Colleague,12/15/2014,4.7,3.3,3.6,3.5,3.8,3.0,0,5,63,1.0
8901,14/05/1996,Male,USA,Manufacturing,Colleague,12/5/2022,4.7,4.7,2.1,4.0,3.6,3.0,0,4,19,1.0
8029,04/12/1977,Male,APAC,IT Department,Colleague,1/19/2008,4.7,3.4,2.5,4.2,3.8,3.0,0,5,57,1.0
8369,20/07/1997,Male,APAC,Manufacturing,Colleague,11/4/2019,4.7,3.2,2.4,4.1,3.6,3.0,0,2,-15,1.0
8147,10/11/1977,Male,UK & EMEA,IT Department,Colleague,10/19/2015,4.7,3.7,3.4,4.6,4.7,5.0,0,5,40,1.0
8704,25/06/1991,Male,UK & EMEA,Sales & Marketing,Colleague,1/31/2022,4.7,3.6,4.1,4.1,4.3,4.0,0,2,44,1.0
8225,28/04/1980,Female,UK & EMEA,Sales & Marketing,Senior Leader,1/2/2018,4.7,3.9,2.8,3.6,4.3,4.0,0,4,20,1.0
8057,17/06/1956,Female,USA,Sales & Marketing,Colleague,4/11/2011,4.7,4.3,3.6,4.0,3.5,6.0,0,4,74,1.0
8099,08/04/1958,Male,UK & EMEA,Research Department,Colleague,11/18/2013,4.6,3.8,2.3,3.9,4.7,4.0,0,4,96,1.0
8815,12/02/1983,Female,UK & EMEA,Sales & Marketing,Colleague,8/15/2022,4.6,4.3,2.6,4.3,3.7,5.0,0,5,60,1.0
8393,17/04/1979,Male,UK & EMEA,IT Department,Colleague,1/27/2020,4.6,3.4,2.1,4.5,4.0,4.0,0,1,49,1.0
8777,19/08/1978,Female,USA,Manufacturing,Colleague,6/29/2022,4.6,3.5,3.0,3.6,3.1,5.0,0,2,47,1.0
8584,10/12/1992,Male,USA,Manufacturing,Colleague,7/19/2021,4.6,3.9,3.4,3.9,3.7,2.0,0,4,15,1.0
8199,16/12/1993,Male,UK & EMEA,Sales & Marketing,Colleague,7/31/2017,4.6,3.6,3.1,3.9,4.6,2.0,0,2,-25,1.0
8070,02/02/1989,Female,APAC,Research Department,Colleague,3/12/2012,4.6,4.2,2.4,4.3,4.8,4.0,0,4,86,1.0
8651,09/04/1996,Male,APAC,Sales & Marketing,Colleague,10/11/2021,4.6,3.6,3.2,3.8,3.8,4.0,0,5,76,1.0
8191,03/06/1990,Female,UK & EMEA,Human Resources,Colleague,4/24/2017,4.6,3.3,3.8,4.1,3.9,3.0,0,4,37,1.0
8440,03/05/1968,Male,USA,IT Department,Colleague,5/26/2020,4.6,3.9,2.8,4.3,4.2,5.0,0,1,-3,1.0
8952,16/06/1967,Male,UK & EMEA,Manufacturing,Colleague,4/3/2023,4.6,4.3,2.5,3.6,4.0,6.0,0,2,27,1.0
8567,26/06/1980,Male,UK & EMEA,Sales & Marketing,Colleague,6/21/2021,4.6,3.6,2.8,4.7,4.0,4.0,0,5,98,1.0
